Time (s),Temperature,Humidity,Pressure,Altitude
0,2.9901901070743597,3.847464112476465,1.8474426014574008,3.664856273372524
1,4.077451949067346,4.054205196870701,6.5056814724932055,6.1933517272950365
2,5.142820836000276,9.439863208197474,1.0083127279631543,3.7119218898294437
3,0.4449511946231244,4.805780731453433,5.780313121945449,4.876386772109525
4,8.133324846600132,4.7725776962868895,2.001039369726141,7.016278087361839
5,8.080700149468846,0.48458304852176615,7.058592147883765,2.2490738914690898
6,4.6717495216684455,1.0846790923193828,4.964255356638658,0.4762459295324706
7,3.491852142364935,6.799242680754852,1.5572793806188656,6.83129678064935
8,2.2614968299785163,7.262085366056822,4.553525728412097,3.6870783890728687
9,2.3230594516386773,4.0444554487076605,6.174743455685072,2.9273329556443253
10,0.33992865752233037,0.7698418748479152,0.6734339852050053,1.7488926088961454
11,7.225126043380746,7.336544703532681,8.626429364219623,1.4368128861404383
12,4.830217627099923,8.16181022219893,2.591615659641974,7.735311810316459
13,9.772507033604958,5.175611246472316,4.0864294998946304,2.2607536426945094
14,8.184478151600514,5.239748480429815,3.8440481807056583,0.1692032515699593
15,4.08202917113865,7.997722332771428,7.761896563214568,0.01673417903411245
16,2.7281360479605263,8.12370480478497,4.0899012805248605,7.243737904806967
17,6.466829141930344,3.926999053194086,7.8586441702886205,0.24830749368428884
18,1.3424897707091665,8.45443558705789,9.49083845688139,1.1295949580126108
19,6.764858036859783,5.936217327304672,7.465928172361983,1.9021310303786076
20,0.4278449195787848,7.957600027754523,6.769491599841551,5.8860626387468855
21,6.317196405080679,2.2715255479186247,6.54324926857757,6.0739112137815985
22,7.869241857230098,3.7881646515069614,8.995020404455556,4.945185173534133
23,5.516689242985596,6.761990750171641,2.7189137653604325,8.617798829891381
24,5.096860030494659,7.619644534945817,5.0194542803640365,0.913406019946924
25,0.253043471020562,9.299960769159945,1.6237899031328917,7.9755321393931835
26,2.1551348244164403,2.859471320081286,4.485860926315244,4.842866687499794
27,2.9541185596325006,7.860618403470143,2.356656709854631,5.287484849310015
28,6.162591954809834,4.258868470238374,0.40171027976020346,8.962229911650537
29,3.8688143475753813,8.410738560350477,2.192281141869975,4.758710972690258
30,6.761600063930143,5.779765722092243,4.387842971415891,2.4121151933395044
31,3.0528555149418146,3.753919650685895,4.894698649209993,2.851478345469678
32,2.9686228613604007,3.0572668197423933,6.645343784062386,9.493555223731901
33,9.670059181096164,1.5077423520276734,2.88043209067689,5.115795101415793
34,5.7566292307292075,3.3235013497601082,7.2856214068717655,2.0908692008240113
35,3.393668092341481,4.73792984940292,7.5501711637902815,3.8022817358309293
36,1.9174624102003923,1.5506168321724334,5.930444417136672,2.655736046968824
37,2.254425641824204,7.133967141174303,6.18008466295467,8.261616574821158
38,8.906994193686197,1.0013255815185707,4.862458951805481,8.93120120508501
39,2.514454661993011,5.189565260340063,6.22698001204312,9.66287715028221
40,8.120108316963181,9.562738181638796,4.158154974305291,2.236447429695997
41,5.206092161704824,1.9144744774489753,5.5402762929566105,4.161813882754575
42,6.598385126367986,5.584455926973137,6.581505621038567,7.530946099882936
